feature,chi2,p,n_target,n_reference
rhodes,0.14595570810631028,0.702430582198669,3,1
richardson's,0.14595570810631028,0.702430582198669,3,1
rick's,0.14595570810631028,0.702430582198669,3,1
rickles,0.14595570810631028,0.702430582198669,3,1
ringo,0.14595570810631028,0.702430582198669,3,1
ripley's,0.14595570810631028,0.702430582198669,3,1
roache,0.14595570810631028,0.702430582198669,3,1
roam,0.14595570810631028,0.702430582198669,3,1
romanticism,0.14595570810631028,0.702430582198669,3,1
rosy,0.14595570810631028,0.702430582198669,3,1
roth's,0.14595570810631028,0.702430582198669,3,1
rouge,0.14595570810631028,0.702430582198669,3,1
routes,0.14595570810631028,0.702430582198669,3,1
routinely,0.14595570810631028,0.702430582198669,3,1
rudimentary,0.14595570810631028,0.702430582198669,3,1
rudolph's,0.14595570810631028,0.702430582198669,3,1
rustic,0.14595570810631028,0.702430582198669,3,1
sacrificed,0.14595570810631028,0.702430582198669,3,1
saddening,0.14595570810631028,0.702430582198669,3,1
salary,0.14595570810631028,0.702430582198669,3,1
sampling,0.14595570810631028,0.702430582198669,3,1
sanitary,0.14595570810631028,0.702430582198669,3,1
sappiness,0.14595570810631028,0.702430582198669,3,1
sarris,0.14595570810631028,0.702430582198669,3,1
saucers,0.14595570810631028,0.702430582198669,3,1
savant,0.14595570810631028,0.702430582198669,3,1
scheider,0.14595570810631028,0.702430582198669,3,1
schoolboy,0.14595570810631028,0.702430582198669,3,1
self-consciousness,0.14595570810631028,0.702430582198669,3,1
self-pity,0.14595570810631028,0.702430582198669,3,1
self-serving,0.14595570810631028,0.702430582198669,3,1
serials,0.14595570810631028,0.702430582198669,3,1
setbacks,0.14595570810631028,0.702430582198669,3,1
settling,0.14595570810631028,0.702430582198669,3,1
shadowed,0.14595570810631028,0.702430582198669,3,1
shaping,0.14595570810631028,0.702430582198669,3,1
sharper,0.14595570810631028,0.702430582198669,3,1
shaw's,0.14595570810631028,0.702430582198669,3,1
shootouts,0.14595570810631028,0.702430582198669,3,1
showings,0.14595570810631028,0.702430582198669,3,1
sidelines,0.14595570810631028,0.702430582198669,3,1
sideshow,0.14595570810631028,0.702430582198669,3,1
sidious,0.14595570810631028,0.702430582198669,3,1
siegel,0.14595570810631028,0.702430582198669,3,1
similarity,0.14595570810631028,0.702430582198669,3,1
slaughtering,0.14595570810631028,0.702430582198669,3,1
sleepwalking,0.14595570810631028,0.702430582198669,3,1
slow-paced,0.14595570810631028,0.702430582198669,3,1
smuggled,0.14595570810631028,0.702430582198669,3,1
snapshots,0.14595570810631028,0.702430582198669,3,1
soak,0.14595570810631028,0.702430582198669,3,1
spanking,0.14595570810631028,0.702430582198669,3,1
sparring,0.14595570810631028,0.702430582198669,3,1
special-effects,0.14595570810631028,0.702430582198669,3,1
spiders,0.14595570810631028,0.702430582198669,3,1
spokesman,0.14595570810631028,0.702430582198669,3,1
squalid,0.14595570810631028,0.702430582198669,3,1
starving,0.14595570810631028,0.702430582198669,3,1
steadfast,0.14595570810631028,0.702430582198669,3,1
steers,0.14595570810631028,0.702430582198669,3,1
stems,0.14595570810631028,0.702430582198669,3,1
stinky,0.14595570810631028,0.702430582198669,3,1
stirs,0.14595570810631028,0.702430582198669,3,1
straight-faced,0.14595570810631028,0.702430582198669,3,1
stranding,0.14595570810631028,0.702430582198669,3,1
stratford,0.14595570810631028,0.702430582198669,3,1
stressed-out,0.14595570810631028,0.702430582198669,3,1
subjecting,0.14595570810631028,0.702430582198669,3,1
subscribe,0.14595570810631028,0.702430582198669,3,1
sunken,0.14595570810631028,0.702430582198669,3,1
suspending,0.14595570810631028,0.702430582198669,3,1
swallowed,0.14595570810631028,0.702430582198669,3,1
symbolically,0.14595570810631028,0.702430582198669,3,1
synchronized,0.14595570810631028,0.702430582198669,3,1
tackled,0.14595570810631028,0.702430582198669,3,1
tanner,0.14595570810631028,0.702430582198669,3,1
taped,0.14595570810631028,0.702430582198669,3,1
taps,0.14595570810631028,0.702430582198669,3,1
tawdry,0.14595570810631028,0.702430582198669,3,1
teller,0.14595570810631028,0.702430582198669,3,1
thorough,0.14595570810631028,0.702430582198669,3,1
three-hour,0.14595570810631028,0.702430582198669,3,1
thuggish,0.14595570810631028,0.702430582198669,3,1
tigers,0.14595570810631028,0.702430582198669,3,1
titillation,0.14595570810631028,0.702430582198669,3,1
torturing,0.14595570810631028,0.702430582198669,3,1
tours,0.14595570810631028,0.702430582198669,3,1
transcendental,0.14595570810631028,0.702430582198669,3,1
trashing,0.14595570810631028,0.702430582198669,3,1
triangles,0.14595570810631028,0.702430582198669,3,1
triggers,0.14595570810631028,0.702430582198669,3,1
troyer,0.14595570810631028,0.702430582198669,3,1
trusting,0.14595570810631028,0.702430582198669,3,1
turkish,0.14595570810631028,0.702430582198669,3,1
turtles,0.14595570810631028,0.702430582198669,3,1
twenty-two,0.14595570810631028,0.702430582198669,3,1
two-bit,0.14595570810631028,0.702430582198669,3,1
ufo,0.14595570810631028,0.702430582198669,3,1
ulee's,0.14595570810631028,0.702430582198669,3,1
unbridled,0.14595570810631028,0.702430582198669,3,1
undefined,0.14595570810631028,0.702430582198669,3,1
undress,0.14595570810631028,0.702430582198669,3,1
unexplored,0.14595570810631028,0.702430582198669,3,1
unfeeling,0.14595570810631028,0.702430582198669,3,1
unflinching,0.14595570810631028,0.702430582198669,3,1
unforgiven,0.14595570810631028,0.702430582198669,3,1
unimpressed,0.14595570810631028,0.702430582198669,3,1
unlucky,0.14595570810631028,0.702430582198669,3,1
unreliable,0.14595570810631028,0.702430582198669,3,1
unsavory,0.14595570810631028,0.702430582198669,3,1
unshaven,0.14595570810631028,0.702430582198669,3,1
vartan,0.14595570810631028,0.702430582198669,3,1
vendor,0.14595570810631028,0.702430582198669,3,1
viable,0.14595570810631028,0.702430582198669,3,1
violinist,0.14595570810631028,0.702430582198669,3,1
virginal,0.14595570810631028,0.702430582198669,3,1
visas,0.14595570810631028,0.702430582198669,3,1
vita,0.14595570810631028,0.702430582198669,3,1
volunteers,0.14595570810631028,0.702430582198669,3,1
voters,0.14595570810631028,0.702430582198669,3,1
voyager,0.14595570810631028,0.702430582198669,3,1
waging,0.14595570810631028,0.702430582198669,3,1
wags,0.14595570810631028,0.702430582198669,3,1
wax,0.14595570810631028,0.702430582198669,3,1
well-off,0.14595570810631028,0.702430582198669,3,1
whereby,0.14595570810631028,0.702430582198669,3,1
wife-to-be,0.14595570810631028,0.702430582198669,3,1
wobbly,0.14595570810631028,0.702430582198669,3,1
woodard,0.14595570810631028,0.702430582198669,3,1
wool,0.14595570810631028,0.702430582198669,3,1
wreaks,0.14595570810631028,0.702430582198669,3,1
wrecked,0.14595570810631028,0.702430582198669,3,1
writhing,0.14595570810631028,0.702430582198669,3,1
yearbook,0.14595570810631028,0.702430582198669,3,1
yen,0.14595570810631028,0.702430582198669,3,1
yesterday,0.14595570810631028,0.702430582198669,3,1
zipper,0.14595570810631028,0.702430582198669,3,1
zippy,0.14595570810631028,0.702430582198669,3,1
~,0.14595570810631028,0.702430582198669,3,1
deeper,0.14538953126906237,0.7029808080836553,30,24
helped,0.14538953126906237,0.7029808080836553,30,24
silent,0.1431162202882506,0.7052025125075675,50,41
male,0.14164903019677388,0.706647125599977,57,47
dan,0.1400265780305799,0.7082545915653483,24,19
negative,0.1400265780305799,0.7082545915653483,24,19
treated,0.1400265780305799,0.7082545915653483,24,19
alluring,0.13878029140047915,0.7094965909653407,7,5
amused,0.13878029140047915,0.7094965909653407,7,5
beckinsale,0.13878029140047915,0.7094965909653407,7,5
bumps,0.13878029140047915,0.7094965909653407,7,5
claimed,0.13878029140047915,0.7094965909653407,7,5
concentrate,0.13878029140047915,0.7094965909653407,7,5
concludes,0.13878029140047915,0.7094965909653407,7,5
conductor,0.13878029140047915,0.7094965909653407,7,5
confirmed,0.13878029140047915,0.7094965909653407,7,5
conveying,0.13878029140047915,0.7094965909653407,7,5
creep,0.13878029140047915,0.7094965909653407,7,5
crooks,0.13878029140047915,0.7094965909653407,7,5
deny,0.13878029140047915,0.7094965909653407,7,5
dern,0.13878029140047915,0.7094965909653407,7,5
disguised,0.13878029140047915,0.7094965909653407,7,5
disliked,0.13878029140047915,0.7094965909653407,7,5
document,0.13878029140047915,0.7094965909653407,7,5
dominate,0.13878029140047915,0.7094965909653407,7,5
drinks,0.13878029140047915,0.7094965909653407,7,5
dug,0.13878029140047915,0.7094965909653407,7,5
expectation,0.13878029140047915,0.7094965909653407,7,5
fewer,0.13878029140047915,0.7094965909653407,7,5
gesture,0.13878029140047915,0.7094965909653407,7,5
hostile,0.13878029140047915,0.7094965909653407,7,5
joaquin,0.13878029140047915,0.7094965909653407,7,5
landau,0.13878029140047915,0.7094965909653407,7,5
lucrative,0.13878029140047915,0.7094965909653407,7,5
macabre,0.13878029140047915,0.7094965909653407,7,5
mcdonald's,0.13878029140047915,0.7094965909653407,7,5
merchandising,0.13878029140047915,0.7094965909653407,7,5
mira,0.13878029140047915,0.7094965909653407,7,5
mobsters,0.13878029140047915,0.7094965909653407,7,5
modest,0.13878029140047915,0.7094965909653407,7,5
monstrous,0.13878029140047915,0.7094965909653407,7,5
negotiate,0.13878029140047915,0.7094965909653407,7,5
nerve,0.13878029140047915,0.7094965909653407,7,5
november,0.13878029140047915,0.7094965909653407,7,5
off-screen,0.13878029140047915,0.7094965909653407,7,5
payne,0.13878029140047915,0.7094965909653407,7,5
perverse,0.13878029140047915,0.7094965909653407,7,5
poem,0.13878029140047915,0.7094965909653407,7,5
principals,0.13878029140047915,0.7094965909653407,7,5
psychologically,0.13878029140047915,0.7094965909653407,7,5
purposes,0.13878029140047915,0.7094965909653407,7,5
regularly,0.13878029140047915,0.7094965909653407,7,5
reverend,0.13878029140047915,0.7094965909653407,7,5
rounding,0.13878029140047915,0.7094965909653407,7,5
rowlands,0.13878029140047915,0.7094965909653407,7,5
sabotage,0.13878029140047915,0.7094965909653407,7,5
scent,0.13878029140047915,0.7094965909653407,7,5
schtick,0.13878029140047915,0.7094965909653407,7,5
shifting,0.13878029140047915,0.7094965909653407,7,5
slower,0.13878029140047915,0.7094965909653407,7,5
solitary,0.13878029140047915,0.7094965909653407,7,5
solved,0.13878029140047915,0.7094965909653407,7,5
spies,0.13878029140047915,0.7094965909653407,7,5
sprawling,0.13878029140047915,0.7094965909653407,7,5
summary,0.13878029140047915,0.7094965909653407,7,5
sweaty,0.13878029140047915,0.7094965909653407,7,5
thandie,0.13878029140047915,0.7094965909653407,7,5
toned,0.13878029140047915,0.7094965909653407,7,5
windows,0.13878029140047915,0.7094965909653407,7,5
wiseguy,0.13878029140047915,0.7094965909653407,7,5
witnessing,0.13878029140047915,0.7094965909653407,7,5
worldwide,0.13878029140047915,0.7094965909653407,7,5
admire,0.13855362377098773,0.709723160737358,18,14
paranoid,0.13855362377098773,0.709723160737358,18,14
preview,0.13855362377098773,0.709723160737358,18,14
scripts,0.13855362377098773,0.709723160737358,18,14
sea,0.13714602056001793,0.7111349018264544,37,30
ultimately,0.13607159322725923,0.7122180414918841,86,72
tell,0.1350748666768291,0.713227202757739,184,157
forever,0.13096693819744767,0.7174315835296341,51,42
meaning,0.13096693819744767,0.7174315835296341,51,42
play,0.12817116320008418,0.7203358267383146,240,206
open,0.1251119914244076,0.7235549272398208,80,67
included,0.12293346559459671,0.7258744332415128,38,31
quest,0.12293346559459671,0.7258744332415128,38,31
serves,0.12293346559459671,0.7258744332415128,38,31
achievement,0.12115639281954425,0.7277836569364227,25,20
angeles,0.12115639281954425,0.7277836569364227,25,20
disco,0.12115639281954425,0.7277836569364227,25,20
gory,0.12115639281954425,0.7277836569364227,25,20
lived,0.12115639281954425,0.7277836569364227,25,20
los,0.12115639281954425,0.7277836569364227,25,20
notably,0.12115639281954425,0.7277836569364227,25,20
spots,0.12115639281954425,0.7277836569364227,25,20
susan,0.12115639281954425,0.7277836569364227,25,20
adaptation,0.12037629395071965,0.7286267262694923,45,37
difference,0.12037629395071965,0.7286267262694923,45,37
step,0.12037629395071965,0.7286267262694923,45,37
sympathetic,0.12037629395071965,0.7286267262694923,45,37
affair,0.11962652723193197,0.729439904321778,52,43
1990s,0.11674539726785116,0.7325915323244141,13,10
bullet,0.11674539726785116,0.7325915323244141,13,10
caricatures,0.11674539726785116,0.7325915323244141,13,10
charges,0.11674539726785116,0.7325915323244141,13,10
civilization,0.11674539726785116,0.7325915323244141,13,10
concepts,0.11674539726785116,0.7325915323244141,13,10
conflicts,0.11674539726785116,0.7325915323244141,13,10
discussing,0.11674539726785116,0.7325915323244141,13,10
disturbed,0.11674539726785116,0.7325915323244141,13,10
flies,0.11674539726785116,0.7325915323244141,13,10
fond,0.11674539726785116,0.7325915323244141,13,10
graduate,0.11674539726785116,0.7325915323244141,13,10
horses,0.11674539726785116,0.7325915323244141,13,10
incidentally,0.11674539726785116,0.7325915323244141,13,10
journalist,0.11674539726785116,0.7325915323244141,13,10
navy,0.11674539726785116,0.7325915323244141,13,10
parallel,0.11674539726785116,0.7325915323244141,13,10
pity,0.11674539726785116,0.7325915323244141,13,10
screens,0.11674539726785116,0.7325915323244141,13,10
shit,0.11674539726785116,0.7325915323244141,13,10
similarly,0.11674539726785116,0.7325915323244141,13,10
wandering,0.11674539726785116,0.7325915323244141,13,10
broadcast,0.11609897274266982,0.7333045983003621,19,15
busy,0.11609897274266982,0.7333045983003621,19,15
dealer,0.11609897274266982,0.7333045983003621,19,15
flair,0.11609897274266982,0.7333045983003621,19,15
principal,0.11609897274266982,0.7333045983003621,19,15
safety,0.11609897274266982,0.7333045983003621,19,15
suffered,0.11609897274266982,0.7333045983003621,19,15
brother,0.1155760096006973,0.7338830979272466,126,107
met,0.11337167562205704,0.7363377056137094,32,26
significant,0.11337167562205704,0.7363377056137094,32,26
saving,0.11019754358171797,0.7399193472705314,60,50
nice,0.11008920671355742,0.740042598095928,181,155
lucky,0.10991944112686344,0.7402358695641114,39,32
match,0.10878824893846177,0.7415279367956649,46,38
raise,0.10449314384730449,0.7465028935404661,26,21
succeed,0.10449314384730449,0.7465028935404661,26,21
105,0.09930986912542814,0.7526593950503606,3,2
16x9,0.09930986912542814,0.7526593950503606,3,2
2029,0.09930986912542814,0.7526593950503606,3,2
25th,0.09930986912542814,0.7526593950503606,3,2
26,0.09930986912542814,0.7526593950503606,3,2
30-second,0.09930986912542814,0.7526593950503606,3,2
36,0.09930986912542814,0.7526593950503606,3,2
92,0.09930986912542814,0.7526593950503606,3,2
abduction,0.09930986912542814,0.7526593950503606,3,2
accusation,0.09930986912542814,0.7526593950503606,3,2
acknowledged,0.09930986912542814,0.7526593950503606,3,2
acknowledges,0.09930986912542814,0.7526593950503606,3,2
adage,0.09930986912542814,0.7526593950503606,3,2
adaption,0.09930986912542814,0.7526593950503606,3,2
advancement,0.09930986912542814,0.7526593950503606,3,2
agreeing,0.09930986912542814,0.7526593950503606,3,2
almod,0.09930986912542814,0.7526593950503606,3,2
alternating,0.09930986912542814,0.7526593950503606,3,2
angered,0.09930986912542814,0.7526593950503606,3,2
anguished,0.09930986912542814,0.7526593950503606,3,2
anjelica,0.09930986912542814,0.7526593950503606,3,2
annabella,0.09930986912542814,0.7526593950503606,3,2
announcer,0.09930986912542814,0.7526593950503606,3,2
anticipate,0.09930986912542814,0.7526593950503606,3,2
aptitude,0.09930986912542814,0.7526593950503606,3,2
arranged,0.09930986912542814,0.7526593950503606,3,2
arrangement,0.09930986912542814,0.7526593950503606,3,2
arthurian,0.09930986912542814,0.7526593950503606,3,2
asia,0.09930986912542814,0.7526593950503606,3,2
assaulting,0.09930986912542814,0.7526593950503606,3,2
assembles,0.09930986912542814,0.7526593950503606,3,2
assigns,0.09930986912542814,0.7526593950503606,3,2
awakening,0.09930986912542814,0.7526593950503606,3,2
backfires,0.09930986912542814,0.7526593950503606,3,2
baranski,0.09930986912542814,0.7526593950503606,3,2
barrymore's,0.09930986912542814,0.7526593950503606,3,2
basil,0.09930986912542814,0.7526593950503606,3,2
beaming,0.09930986912542814,0.7526593950503606,3,2
becky,0.09930986912542814,0.7526593950503606,3,2
blamed,0.09930986912542814,0.7526593950503606,3,2
blasts,0.09930986912542814,0.7526593950503606,3,2
blindly,0.09930986912542814,0.7526593950503606,3,2
blueprints,0.09930986912542814,0.7526593950503606,3,2
blurred,0.09930986912542814,0.7526593950503606,3,2
bog,0.09930986912542814,0.7526593950503606,3,2
breathes,0.09930986912542814,0.7526593950503606,3,2
breathless,0.09930986912542814,0.7526593950503606,3,2
bribe,0.09930986912542814,0.7526593950503606,3,2
buffoonish,0.09930986912542814,0.7526593950503606,3,2
camping,0.09930986912542814,0.7526593950503606,3,2
capability,0.09930986912542814,0.7526593950503606,3,2
caped,0.09930986912542814,0.7526593950503606,3,2
celebrates,0.09930986912542814,0.7526593950503606,3,2
cellist,0.09930986912542814,0.7526593950503606,3,2
censorship,0.09930986912542814,0.7526593950503606,3,2
certificate,0.09930986912542814,0.7526593950503606,3,2
champagne,0.09930986912542814,0.7526593950503606,3,2
channels,0.09930986912542814,0.7526593950503606,3,2
character-driven,0.09930986912542814,0.7526593950503606,3,2
chaykin,0.09930986912542814,0.7526593950503606,3,2
cheaply,0.09930986912542814,0.7526593950503606,3,2
churn,0.09930986912542814,0.7526593950503606,3,2
circular,0.09930986912542814,0.7526593950503606,3,2
clashing,0.09930986912542814,0.7526593950503606,3,2
cleared,0.09930986912542814,0.7526593950503606,3,2
climatic,0.09930986912542814,0.7526593950503606,3,2
climbs,0.09930986912542814,0.7526593950503606,3,2
cloying,0.09930986912542814,0.7526593950503606,3,2
co-writing,0.09930986912542814,0.7526593950503606,3,2
cobra,0.09930986912542814,0.7526593950503606,3,2
coliseum,0.09930986912542814,0.7526593950503606,3,2
colleen,0.09930986912542814,0.7526593950503606,3,2
colonists,0.09930986912542814,0.7526593950503606,3,2
colour,0.09930986912542814,0.7526593950503606,3,2
coltrane,0.09930986912542814,0.7526593950503606,3,2
compact,0.09930986912542814,0.7526593950503606,3,2
compensation,0.09930986912542814,0.7526593950503606,3,2
competitor,0.09930986912542814,0.7526593950503606,3,2
compromised,0.09930986912542814,0.7526593950503606,3,2
conceivable,0.09930986912542814,0.7526593950503606,3,2
concentrated,0.09930986912542814,0.7526593950503606,3,2
condemned,0.09930986912542814,0.7526593950503606,3,2
confirmation,0.09930986912542814,0.7526593950503606,3,2
connoisseurs,0.09930986912542814,0.7526593950503606,3,2
conspiracies,0.09930986912542814,0.7526593950503606,3,2
consumer,0.09930986912542814,0.7526593950503606,3,2
contracted,0.09930986912542814,0.7526593950503606,3,2
coping,0.09930986912542814,0.7526593950503606,3,2
costing,0.09930986912542814,0.7526593950503606,3,2
couple's,0.09930986912542814,0.7526593950503606,3,2
coworkers,0.09930986912542814,0.7526593950503606,3,2
creepiness,0.09930986912542814,0.7526593950503606,3,2
crusader,0.09930986912542814,0.7526593950503606,3,2
cryogenic,0.09930986912542814,0.7526593950503606,3,2
culturally,0.09930986912542814,0.7526593950503606,3,2
cumming,0.09930986912542814,0.7526593950503606,3,2
cybill,0.09930986912542814,0.7526593950503606,3,2
dank,0.09930986912542814,0.7526593950503606,3,2
darabont,0.09930986912542814,0.7526593950503606,3,2
darkened,0.09930986912542814,0.7526593950503606,3,2
daytime,0.09930986912542814,0.7526593950503606,3,2
dealings,0.09930986912542814,0.7526593950503606,3,2
dearly,0.09930986912542814,0.7526593950503606,3,2
decay,0.09930986912542814,0.7526593950503606,3,2
dedicates,0.09930986912542814,0.7526593950503606,3,2
demo,0.09930986912542814,0.7526593950503606,3,2
deniro's,0.09930986912542814,0.7526593950503606,3,2
denominator,0.09930986912542814,0.7526593950503606,3,2
depictions,0.09930986912542814,0.7526593950503606,3,2
depp's,0.09930986912542814,0.7526593950503606,3,2
derelict,0.09930986912542814,0.7526593950503606,3,2
devises,0.09930986912542814,0.7526593950503606,3,2
dictionary,0.09930986912542814,0.7526593950503606,3,2
diet,0.09930986912542814,0.7526593950503606,3,2
disappearance,0.09930986912542814,0.7526593950503606,3,2
discarded,0.09930986912542814,0.7526593950503606,3,2
disfigured,0.09930986912542814,0.7526593950503606,3,2
dosage,0.09930986912542814,0.7526593950503606,3,2
dreaming,0.09930986912542814,0.7526593950503606,3,2
drenched,0.09930986912542814,0.7526593950503606,3,2
dumps,0.09930986912542814,0.7526593950503606,3,2
dzundza,0.09930986912542814,0.7526593950503606,3,2
earthlings,0.09930986912542814,0.7526593950503606,3,2
effects-laden,0.09930986912542814,0.7526593950503606,3,2
egotistical,0.09930986912542814,0.7526593950503606,3,2
electricity,0.09930986912542814,0.7526593950503606,3,2
elfman's,0.09930986912542814,0.7526593950503606,3,2
embittered,0.09930986912542814,0.7526593950503606,3,2
eminently,0.09930986912542814,0.7526593950503606,3,2
emoting,0.09930986912542814,0.7526593950503606,3,2
emphasized,0.09930986912542814,0.7526593950503606,3,2
employment,0.09930986912542814,0.7526593950503606,3,2
emulate,0.09930986912542814,0.7526593950503606,3,2
ensuring,0.09930986912542814,0.7526593950503606,3,2
entities,0.09930986912542814,0.7526593950503606,3,2
eraserhead,0.09930986912542814,0.7526593950503606,3,2
evade,0.09930986912542814,0.7526593950503606,3,2
evaluate,0.09930986912542814,0.7526593950503606,3,2
expendable,0.09930986912542814,0.7526593950503606,3,2
expressionless,0.09930986912542814,0.7526593950503606,3,2
extraordinaire,0.09930986912542814,0.7526593950503606,3,2
eyelashes,0.09930986912542814,0.7526593950503606,3,2
faded,0.09930986912542814,0.7526593950503606,3,2
fax,0.09930986912542814,0.7526593950503606,3,2
feats,0.09930986912542814,0.7526593950503606,3,2
federico,0.09930986912542814,0.7526593950503606,3,2
feeding,0.09930986912542814,0.7526593950503606,3,2
filthy,0.09930986912542814,0.7526593950503606,3,2
fireworks,0.09930986912542814,0.7526593950503606,3,2
first-hand,0.09930986912542814,0.7526593950503606,3,2
flexibility,0.09930986912542814,0.7526593950503606,3,2
fling,0.09930986912542814,0.7526593950503606,3,2
forehead,0.09930986912542814,0.7526593950503606,3,2
fray,0.09930986912542814,0.7526593950503606,3,2
fueled,0.09930986912542814,0.7526593950503606,3,2
functioning,0.09930986912542814,0.7526593950503606,3,2
futility,0.09930986912542814,0.7526593950503606,3,2
gale's,0.09930986912542814,0.7526593950503606,3,2
garofalo's,0.09930986912542814,0.7526593950503606,3,2
gathered,0.09930986912542814,0.7526593950503606,3,2
gaudy,0.09930986912542814,0.7526593950503606,3,2
geez,0.09930986912542814,0.7526593950503606,3,2
gen-x,0.09930986912542814,0.7526593950503606,3,2
gere's,0.09930986912542814,0.7526593950503606,3,2
gilliam's,0.09930986912542814,0.7526593950503606,3,2
git,0.09930986912542814,0.7526593950503606,3,2
glued,0.09930986912542814,0.7526593950503606,3,2
godard,0.09930986912542814,0.7526593950503606,3,2
grabbed,0.09930986912542814,0.7526593950503606,3,2
grants,0.09930986912542814,0.7526593950503606,3,2
grieco,0.09930986912542814,0.7526593950503606,3,2
grinning,0.09930986912542814,0.7526593950503606,3,2
grudge,0.09930986912542814,0.7526593950503606,3,2
hairdo,0.09930986912542814,0.7526593950503606,3,2
hairstyles,0.09930986912542814,0.7526593950503606,3,2
halliwell,0.09930986912542814,0.7526593950503606,3,2
handheld,0.09930986912542814,0.7526593950503606,3,2
happier,0.09930986912542814,0.7526593950503606,3,2
hazy,0.09930986912542814,0.7526593950503606,3,2
head-to-head,0.09930986912542814,0.7526593950503606,3,2
heightens,0.09930986912542814,0.7526593950503606,3,2
heinlein's,0.09930986912542814,0.7526593950503606,3,2
high-level,0.09930986912542814,0.7526593950503606,3,2
highlighting,0.09930986912542814,0.7526593950503606,3,2
honed,0.09930986912542814,0.7526593950503606,3,2
hooded,0.09930986912542814,0.7526593950503606,3,2
hordes,0.09930986912542814,0.7526593950503606,3,2
hostages,0.09930986912542814,0.7526593950503606,3,2
housekeeper,0.09930986912542814,0.7526593950503606,3,2
hovering,0.09930986912542814,0.7526593950503606,3,2
humorously,0.09930986912542814,0.7526593950503606,3,2
hurting,0.09930986912542814,0.7526593950503606,3,2
hygiene,0.09930986912542814,0.7526593950503606,3,2
iconic,0.09930986912542814,0.7526593950503606,3,2
iggy,0.09930986912542814,0.7526593950503606,3,2
illustrious,0.09930986912542814,0.7526593950503606,3,2
imprisonment,0.09930986912542814,0.7526593950503606,3,2
incarnations,0.09930986912542814,0.7526593950503606,3,2
incriminating,0.09930986912542814,0.7526593950503606,3,2
indulgent,0.09930986912542814,0.7526593950503606,3,2
inexperience,0.09930986912542814,0.7526593950503606,3,2
infuse,0.09930986912542814,0.7526593950503606,3,2
inherited,0.09930986912542814,0.7526593950503606,3,2
insisting,0.09930986912542814,0.7526593950503606,3,2
instantaneously,0.09930986912542814,0.7526593950503606,3,2
insure,0.09930986912542814,0.7526593950503606,3,2
insurmountable,0.09930986912542814,0.7526593950503606,3,2
insurrection's,0.09930986912542814,0.7526593950503606,3,2
interpret,0.09930986912542814,0.7526593950503606,3,2
interrogation,0.09930986912542814,0.7526593950503606,3,2
intricacies,0.09930986912542814,0.7526593950503606,3,2
intrinsic,0.09930986912542814,0.7526593950503606,3,2
jada,0.09930986912542814,0.7526593950503606,3,2
jay's,0.09930986912542814,0.7526593950503606,3,2
judge's,0.09930986912542814,0.7526593950503606,3,2
juncture,0.09930986912542814,0.7526593950503606,3,2
kafka,0.09930986912542814,0.7526593950503606,3,2
kasdan's,0.09930986912542814,0.7526593950503606,3,2
kitten,0.09930986912542814,0.7526593950503606,3,2
knowingly,0.09930986912542814,0.7526593950503606,3,2
knowledgeable,0.09930986912542814,0.7526593950503606,3,2
korean,0.09930986912542814,0.7526593950503606,3,2
kristin,0.09930986912542814,0.7526593950503606,3,2
lampooning,0.09930986912542814,0.7526593950503606,3,2
landlady,0.09930986912542814,0.7526593950503606,3,2
leopard,0.09930986912542814,0.7526593950503606,3,2
line-up,0.09930986912542814,0.7526593950503606,3,2
loft,0.09930986912542814,0.7526593950503606,3,2
loops,0.09930986912542814,0.7526593950503606,3,2
lowlifes,0.09930986912542814,0.7526593950503606,3,2
luhrmann,0.09930986912542814,0.7526593950503606,3,2
magda,0.09930986912542814,0.7526593950503606,3,2
malls,0.09930986912542814,0.7526593950503606,3,2
managing,0.09930986912542814,0.7526593950503606,3,2
manipulating,0.09930986912542814,0.7526593950503606,3,2
mankind's,0.09930986912542814,0.7526593950503606,3,2
marin,0.09930986912542814,0.7526593950503606,3,2
marky,0.09930986912542814,0.7526593950503606,3,2
mattered,0.09930986912542814,0.7526593950503606,3,2
mechanism,0.09930986912542814,0.7526593950503606,3,2
mekhi,0.09930986912542814,0.7526593950503606,3,2
melrose,0.09930986912542814,0.7526593950503606,3,2
memorial,0.09930986912542814,0.7526593950503606,3,2
midwestern,0.09930986912542814,0.7526593950503606,3,2
milieu,0.09930986912542814,0.7526593950503606,3,2
mini-me,0.09930986912542814,0.7526593950503606,3,2
montages,0.09930986912542814,0.7526593950503606,3,2
mosaic,0.09930986912542814,0.7526593950503606,3,2
multi-million,0.09930986912542814,0.7526593950503606,3,2
mutation,0.09930986912542814,0.7526593950503606,3,2
nailing,0.09930986912542814,0.7526593950503606,3,2
nanny,0.09930986912542814,0.7526593950503606,3,2
narrating,0.09930986912542814,0.7526593950503606,3,2
narratives,0.09930986912542814,0.7526593950503606,3,2
nikki's,0.09930986912542814,0.7526593950503606,3,2
no-name,0.09930986912542814,0.7526593950503606,3,2
o'neal,0.09930986912542814,0.7526593950503606,3,2
observant,0.09930986912542814,0.7526593950503606,3,2
obsolete,0.09930986912542814,0.7526593950503606,3,2
one-two,0.09930986912542814,0.7526593950503606,3,2
outraged,0.09930986912542814,0.7526593950503606,3,2
overexposed,0.09930986912542814,0.7526593950503606,3,2
oversexed,0.09930986912542814,0.7526593950503606,3,2
